epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8623,0.74566,4.51663,1.12816,0,0,0,0,0.50746,4.60047,0.93845,0.00041675,0.00041675,0.00041675
2,34.3275,0.76136,4.50616,1.13422,0,0,0,0,0.50779,4.59946,0.93779,0.000953163,0.000953163,0.000953163
3,38.5241,0.81666,4.50888,1.19241,0,0,0,0,0.5156,4.59641,0.93966,0.00146757,0.00146757,0.00146757
4,41.9172,0.77948,4.50102,1.16921,0,0,0,0,0.50772,4.59675,0.93978,0.00156798,0.00156798,0.00156798
5,45.2426,1.79244,4.2682,2.25493,0,0,0,0,2.16556,4.78761,3.29582,0.00153497,0.00153497,0.00153497
6,49.1232,2.08745,4.28913,2.20423,0,0,0,0,2.4521,4.72694,2.91038,0.00150197,0.00150197,0.00150197
7,52.501,2.35627,4.3611,2.33034,0,0,0,0,2.46271,4.71096,2.81704,0.00146896,0.00146896,0.00146896
8,55.7784,2.04301,4.06112,2.19977,0,0,0,0,1.78897,4.65546,2.59503,0.00143595,0.00143595,0.00143595
9,60.1447,1.78912,3.43528,2.04597,0.0049,0.03571,0.0004,0.00016,2.26079,4.59438,3.34307,0.00140295,0.00140295,0.00140295
10,64.2446,1.64081,3.0274,1.87853,0.01291,0.41429,0.01595,0.00374,2.60366,4.12798,4.27758,0.00136994,0.00136994,0.00136994
11,67.452,1.48194,2.44548,1.75028,0.01895,0.06667,0.00745,0.00202,2.69664,9.31527,7.0096,0.00133693,0.00133693,0.00133693
12,70.8793,1.39482,2.00015,1.72284,0.01832,0.34048,0.0215,0.00732,2.76963,69.1358,8.67705,0.00130393,0.00130393,0.00130393
13,74.747,1.34237,1.83173,1.64124,0.21429,0.10714,0.08086,0.03132,2.76925,32.92,7.48953,0.00127092,0.00127092,0.00127092
14,78.125,1.32156,1.86121,1.64952,0.05532,0.13333,0.05544,0.02217,2.48739,6.9635,3.9524,0.00123791,0.00123791,0.00123791
15,81.4016,1.28196,1.66292,1.61898,0.06345,0.17143,0.0408,0.01629,2.49808,21.4621,4.09089,0.00120491,0.00120491,0.00120491
16,84.6638,1.1663,1.44498,1.49751,0.05039,0.34286,0.04123,0.00954,2.35187,26.9038,4.3145,0.0011719,0.0011719,0.0011719
17,89.1064,1.20084,1.49025,1.54951,0.1441,0.37619,0.17299,0.0741,2.15241,4.30859,2.80158,0.00113889,0.00113889,0.00113889
18,92.48,1.09183,1.34149,1.46883,0.30955,0.38333,0.27168,0.11283,2.03227,3.73534,2.49978,0.00110589,0.00110589,0.00110589
19,95.7408,1.00304,1.17385,1.35516,0.54602,0.31667,0.24993,0.11729,1.91112,3.44397,2.27056,0.00107288,0.00107288,0.00107288
20,99.2757,1.09259,1.2392,1.43596,0.249,0.55714,0.30034,0.13842,1.83103,2.90236,2.3399,0.00103987,0.00103987,0.00103987
21,103.273,1.05856,1.24538,1.36356,0.25991,0.59048,0.4191,0.18814,1.80814,2.45792,2.29409,0.00100687,0.00100687,0.00100687
22,106.63,0.94484,1.07755,1.30017,0.46756,0.47815,0.53382,0.25665,1.61129,2.39998,1.96611,0.000973861,0.000973861,0.000973861
23,110.125,0.96232,1.11707,1.28219,0.4431,0.52381,0.57437,0.31806,1.53516,2.1391,1.72453,0.000940855,0.000940855,0.000940855
24,114.091,0.8782,1.01573,1.22295,0.58995,0.3876,0.52345,0.2842,1.49636,2.11535,1.66182,0.000907848,0.000907848,0.000907848
25,117.405,0.87794,1.05184,1.21975,0.50576,0.38571,0.5039,0.28723,1.56673,2.33063,1.72577,0.000874842,0.000874842,0.000874842
26,120.696,0.92935,0.96313,1.24887,1,0.31999,0.51114,0.3111,1.43066,2.55858,1.50682,0.000841835,0.000841835,0.000841835
27,123.974,0.78491,0.91639,1.12915,0.83502,0.35476,0.53851,0.30962,1.4623,2.71838,1.58067,0.000808828,0.000808828,0.000808828
28,128.528,0.81884,0.92797,1.17945,0.88267,0.3804,0.67992,0.34718,1.5426,2.44492,1.64903,0.000775822,0.000775822,0.000775822
29,131.821,0.83066,0.96177,1.20788,0.61341,0.51883,0.69937,0.40932,1.34441,2.06722,1.47176,0.000742815,0.000742815,0.000742815
30,135.085,0.79885,0.86155,1.1661,0.68863,0.66782,0.74308,0.44979,1.34732,1.79208,1.504,0.000709809,0.000709809,0.000709809
31,139.028,0.74939,0.8448,1.10358,0.76234,0.65348,0.79365,0.46632,1.3617,1.55209,1.5392,0.000676802,0.000676802,0.000676802
32,142.72,0.69388,0.78379,1.07951,0.77497,0.67394,0.80547,0.48544,1.24355,1.39571,1.48762,0.000643795,0.000643795,0.000643795
33,145.971,0.74227,0.8442,1.14558,0.75056,0.69048,0.80206,0.53903,1.16776,1.31863,1.38585,0.000610789,0.000610789,0.000610789
34,149.232,0.7043,0.78901,1.06357,0.82348,0.62006,0.79753,0.50269,1.18059,1.35079,1.39335,0.000577782,0.000577782,0.000577782
35,153.696,0.7025,0.78216,1.08187,0.65966,0.77108,0.75307,0.44517,1.24974,1.48115,1.49773,0.000544776,0.000544776,0.000544776
36,156.986,0.70944,0.80228,1.12358,0.71602,0.83095,0.82235,0.45133,1.30931,1.45128,1.57501,0.000511769,0.000511769,0.000511769
37,160.2,0.63722,0.73836,1.07004,0.7857,0.79524,0.85097,0.50364,1.28159,1.35366,1.56741,0.000478762,0.000478762,0.000478762
38,163.704,0.70023,0.77602,1.099,0.84224,0.79582,0.83675,0.54062,1.19439,1.34218,1.46251,0.000445756,0.000445756,0.000445756
39,167.666,0.66914,0.78711,1.09739,0.83676,0.72381,0.81739,0.52936,1.16221,1.30779,1.40404,0.000412749,0.000412749,0.000412749
40,171.033,0.6494,0.7642,1.04168,0.76226,0.82619,0.85155,0.53537,1.21569,1.2316,1.44187,0.000379743,0.000379743,0.000379743
41,185.899,0.52512,0.79495,0.94448,0.73615,0.79434,0.84039,0.51774,1.24701,1.2249,1.46679,0.000346736,0.000346736,0.000346736
42,191.78,0.50899,0.7882,0.97162,0.82398,0.79286,0.85753,0.54464,1.20618,1.19228,1.42914,0.000313729,0.000313729,0.000313729
43,195.339,0.53004,0.73143,0.93651,0.80268,0.79048,0.83129,0.55517,1.21198,1.2428,1.43989,0.000280723,0.000280723,0.000280723
44,198.604,0.5131,0.64183,0.9654,0.77861,0.74321,0.80595,0.55094,1.26462,1.29255,1.54339,0.000247716,0.000247716,0.000247716
45,201.812,0.49256,0.67592,0.92736,0.83114,0.68607,0.80665,0.55105,1.22984,1.36525,1.54622,0.00021471,0.00021471,0.00021471
46,206.169,0.50017,0.68426,0.90959,0.86371,0.66862,0.80212,0.55071,1.18634,1.39098,1.51702,0.000181703,0.000181703,0.000181703
47,209.479,0.48905,0.69177,0.94556,0.85212,0.72143,0.81205,0.54279,1.19447,1.38016,1.51331,0.000148696,0.000148696,0.000148696
48,212.943,0.44396,0.62669,0.93825,0.83236,0.65476,0.79865,0.5476,1.17278,1.40141,1.46815,0.00011569,0.00011569,0.00011569
49,216.62,0.47519,0.61996,0.90393,0.85356,0.65476,0.78665,0.55524,1.13468,1.40208,1.43301,8.26832e-05,8.26832e-05,8.26832e-05
50,220.347,0.43131,0.63458,0.91231,0.84284,0.66871,0.78928,0.5538,1.12051,1.40914,1.40918,4.96766e-05,4.96766e-05,4.96766e-05
